Author,Site,Lon,Lat,Country,State_City,MAT_original,MAP_original,MAT,MAP,Elevation,SoilOrder_LEN_USDA_original,SoilOrder_LEN_USDA,Suborder,SoilOrder,SoilTextureClass,VegLocal,VegType_Species,VegTypeCode_Local_original,VegTypeCode_Local,VegTypeCodeStr_Local,clim_code_whittaker,clim_code,ParentMaterial,Slope,SlopePosition,Aspect,Abovegd_litterfall,DrainedClass,Core_Layer_Name,Hzn1,Hzn2,Hzn3,HorizonDesignation,Layer_top,Layer_bottom,Layer_top_norm,Layer_bottom_norm,ProfileID,ProfileZeroDesignation,d13C,D14C_BulkLayer_text,D14C_BulkLayer,D14C_err,14C_age,14C_age_sigma,TT,Terrace Age,FractionModern,FractionModern_sigma,SampleYear,Measurement_Year,BulkDensity_original,BulkDensity,SpecificSurfaceArea,PH_H2O,pct_C_original,pct_C,pct_N,CN,Cmass,sand_pct,silt_pct,clay_pct,cation_exch,Fe_d,Fe_o,Fep,Alp,Ald,Alo,Feo and Alo,Fep,Alp,Feo,Alo,Fed,Ald,Al,Fe,Fe-oxideMinerals,Smectite,nonxtalline,poorly_crystalline_aluminosilicate,noncrystalline_minerals_pct_weight,notes,reference,doi,title,USDA classificiation,Brazilian classification,FAO classification ,AMS lab ,number,avail P extr with HCl_H2SO4,Ext Ca_withKCl,Ext Mg_with_KCl,Ext Al _with_KCl
Lassey_1996RadC,"Lomond Road, Taupo North Island",175.95,-38.583,NewZealand,,12,2000,12,2000,610,Spo,Spo,Orthic podzol,,,"Browntop, Yorkshire fog, Thistles, White clover",,4,4,grassland,6,5,Taupo pumice overlying weathered rhyolitic tephra,4,,360,,Well,,B,Bh,,Bh,19,37,19,37,112,top of mineral soil,,10,10,,,,,,,,1973,,0.9,0.9,,6.2,2.8,2.8,0.16,,0.0252,89,7,4,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996RadC,"Lomond Road, Taupo North Island",175.95,-38.583,NewZealand,,12,2000,12,2000,610,Spo,Spo,Orthic podzol,,,"Browntop, Yorkshire fog, Thistles, White clover",,4,4,grassland,6,5,Taupo pumice overlying weathered rhyolitic tephra,4,,360,,Well,,B,Bs,,Bs,37,50,37,50,112,top of mineral soil,,0.4,0.4,,,,,,,,1973,,1.17,1.17,,6.1,2,2,0.11,,0.0234,89,7,4,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996_Radiocarbon,Judgeford Silt Loam,174.95,-41.12,New-Zealand,North Island,,,12.46439394,1315.2,60,,nan,,,,"browntop, yorshire fog, cocksfoot, bracken fern",,4,4,grassland,6,5,,,,,,,,,,,Ap1,0,8,0,8,607,top of mineral soil,,-34.9,-34.9,6.8,3800,80,,,96.5,0.7,1959,,0.94,0.94,,,7.1,7.1,,,0.06674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassey_1996_Radiocarbon,Judgeford Silt Loam,174.95,-41.12,New-Zealand,North Island,,,12.46439394,1315.2,60,,nan,,,,"browntop, yorshire fog, cocksfoot, bracken fern",,4,4,grassland,6,5,,,,,,,,,,,Ap2,8,20,8,20,607,top of mineral soil,,-44,-44,6.8,4604,196,,,95.6,0.7,1959,,1.05,1.05,,,4.2,4.2,,,0.0441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassey_1996_Radiocarbon,Judgeford Silt Loam,174.95,-41.12,New-Zealand,North Island,,,12.46439394,1315.2,60,,nan,,,,"browntop, yorshire fog, cocksfoot, bracken fern",,4,4,grassland,6,5,,,,,,,,,,,Bw,25,43,25,43,607,top of mineral soil,,-140.2,-140.2,6.4,266,32,,,86,0.6,1959,,1.31,1.31,,,1.9,1.9,,,0.02489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassey_1996_Radiocarbon,Judgeford Silt Loam,174.95,-41.12,New-Zealand,North Island,,,12.46439394,1315.2,60,,nan,,,,"browntop, yorshire fog, cocksfoot, bracken fern",,4,4,grassland,6,5,,,,,,,,,,,Bw(f),46,53,46,53,607,top of mineral soil,,-350,-350,6.6,791,47,,,65,0.7,1959,,1.38,1.38,,,1,1,,,0.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassey_1996_Radiocarbon,Judgeford Silt Loam,174.95,-41.12,New-Zealand,North Island,,,12.46439394,1315.2,60,,nan,,,,"browntop, yorshire fog, cocksfoot, bracken fern",,4,4,grassland,6,5,,,,,,,,,,,BC(f),58,74,58,74,607,top of mineral soil,,-457.1,-457.1,6.1,276,56,,,54.3,0.6,1959,,1.42,1.42,,,0.7,0.7,,,0.00994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baisden_and_Parfitt_BGC2007,Judgeford,174.95,-41.11,NewZealand,,12.6,1290,12.6,1290,79,Ept,Ept,Dystric cambisol,,see harden bulletin 1590,grassland,,4,4,grassland,6,5,quartz/feldspathic loess,5,,270,,Moderately good,,A,Ap,,Ap1,0,4,0,4,124,top of mineral soil,,150,150,,,,,15,,,1974,,0.8,0.8,,,7.1,7.1,,,0.0568,,,,,,,,,,,,,,,,,,,,,,,,,,Baisden_and_Parfitt_BGC2007,, Bomb 14C enrichment indicates decadal C pool in deep soil?,,,,,,,,,
Baisden_and_Parfitt_BGC2007,Judgeford,174.95,-41.11,NewZealand,,12.6,1290,12.6,1290,79,Ept,Ept,Dystric cambisol,,see harden bulletin 1590,grassland,,4,4,grassland,6,5,quartz/feldspathic loess,5,,270,,Moderately good,,A,Ap,,Ap2,4,17,4,17,124,top of mineral soil,,20,20,,,,,15,,,1974,,0.9,0.9,,,4.2,4.2,,,0.0378,,,,,,,,,,,,,,,,,,,,,,,,,,Baisden_and_Parfitt_BGC2007,, Bomb 14C enrichment indicates decadal C pool in deep soil?,,,,,,,,,
Baisden_and_Parfitt_BGC2007,Judgeford,174.95,-41.11,NewZealand,,12.6,1290,12.6,1290,79,Ept,Ept,Dystric cambisol,,see harden bulletin 1590,grassland,,4,4,grassland,6,5,quartz/feldspathic loess,5,,270,,Moderately good,,B,Bw,,Bw,17,30,17,30,124,top of mineral soil,,-96,-96,,,,,15,,,1974,,1.1,1.1,,,1.9,1.9,,,0.0209,,,,,,,,,,,,,,,,,,,,,,,,,,Baisden_and_Parfitt_BGC2007,, Bomb 14C enrichment indicates decadal C pool in deep soil?,,,,,,,,,
